"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","posNeg","positive","positiveIncrease","recovered","states","totalTestResults","totalTestResultsIncrease"
"2020-09-16",188802,1202,18961,6308,1517,30278,390624,81976741,625601,2090,1651,88574524,6597783,40021,2525573,56,88574524,665622
"2020-09-15",187600,1031,18847,6310,1491,30327,389107,81351140,649588,2071,1572,87908902,6557762,35445,2495127,56,87908902,685033
"2020-09-14",186569,403,18748,6233,937,29867,387616,80701552,371748,2061,1507,87223869,6522317,33864,2477942,56,87223869,405612
"2020-09-13",186166,389,18692,6234,592,29816,386679,80329804,612437,2056,1562,86818257,6488453,34453,2450184,56,86818257,646890
"2020-09-12",185777,810,18648,6454,1076,30662,386087,79717367,806722,2051,1619,86171367,6454000,42087,2438903,56,86171367,848809
"2020-09-11",184967,1018,18549,6379,1553,31421,385011,78910645,721070,2031,1715,85322558,6411913,44927,2417878,56,85322558,765997
"2020-09-10",183949,1170,18453,6524,1532,32419,383458,78189575,576461,2008,1925,84556561,6366986,37581,2403511,56,84556561,614042
"2020-09-09",182779,1089,18322,6646,2060,32562,381926,77613114,553429,1994,1903,83942519,6329405,30983,2387479,56,83942519,584412
"2020-09-08",181690,358,18189,6542,959,32263,379866,77059685,486487,1975,1879,83358107,6298422,22223,2359111,56,83358107,508710
"2020-09-07",181332,225,18156,6630,492,31999,378907,76573198,559616,1967,1879,82849397,6276199,28682,2333583,56,82849397,588298
"2020-09-06",181107,449,18125,6699,489,32361,378415,76013582,702709,1960,1912,82261099,6247517,33117,2316020,56,82261099,735826
"2020-09-05",180658,918,18089,6766,1287,33502,377926,75310873,761056,1956,1956,81525273,6214400,44905,2302203,56,81525273,805961
"2020-09-04",179740,998,18012,6924,1239,34099,376639,74549817,850612,1943,1995,80719312,6169495,51591,2283454,56,80719312,902203
"2020-09-03",178742,1070,17894,6908,1536,34676,375400,73699205,679230,1928,2042,79817109,6117904,44714,2266957,56,79817109,723944
"2020-09-02",177672,1032,17784,7087,1647,35569,373864,73019975,614433,1918,2024,79093165,6073190,30603,2231757,56,79093165,645036
